reference,activity,time
BOXER BM 150,CAMBIO PIÑÓN DE CRANK,2.5
BOXER BM 100 ES,CAMBIO PIÑÓN DE CRANK,2.5
PLATINO 125,CAMBIO PIÑÓN DE CRANK,2.5
PLATINO 125 - 5S,CAMBIO PIÑÓN DE CRANK,2.5
PLATINO 100,CAMBIO PIÑÓN DE CRANK,2
PLATINO 110,CAMBIO PIÑÓN DE CRANK,2.5
MOTOCARRO 4T,CAMBIO PIÑÓN DE CRANK,9
TORITO,CAMBIO PIÑÓN DE CRANK,9
KAZE MAX II,CAMBIO PIÑÓN DE CRANK,2.5
ZX 130- MAGIC II,CAMBIO PIÑÓN DE CRANK,5.5
KMX,CAMBIO PIÑÓN DE CRANK,1.5
KLX 150,CAMBIO PIÑÓN DE CRANK,1
KLX150  L,CAMBIO PIÑÓN DE CRANK,1
TRANS-SPORT,CAMBIO PIÑÓN DE CRANK,5.5
MRX 150,CAMBIO PIÑÓN DE CRANK,1
FURAX,CAMBIO PIÑÓN DE CRANK,7.5
BOMBER 125,CAMBIO PIÑÓN DE CRANK,2
COMBAT 125,CAMBIO PIÑÓN DE CRANK,2
ZS,CAMBIO PIÑÓN DE CRANK,0.8
LIFE,CAMBIO PIÑÓN DE CRANK,0.8
HUNTER,CAMBIO PIÑÓN DE CRANK,0.6
BLACK,CAMBIO PIÑÓN DE CRANK,0.6
ONE,CAMBIO PIÑÓN DE CRANK,5.5
FLOW,CAMBIO PIÑÓN DE CRANK,5.5
ADVANCE II LF,CAMBIO PIÑÓN DE CRANK,5.5
SHOCK,CAMBIO PIÑÓN DE CRANK,5.5
TOP BOY,CAMBIO PEDAL DE CRANK,0.15
AGILITY,CAMBIO PEDAL DE CRANK,0.2
AGILITY RS,CAMBIO PEDAL DE CRANK,0.2
AGILITY CITY 150,CAMBIO PEDAL DE CRANK,0.2
ACTIV,CAMBIO PEDAL DE CRANK,0.2
SPIKE,CAMBIO PEDAL DE CRANK,0.2
AGILITY RS  NAKED,CAMBIO PEDAL DE CRANK,0.2
SUPER 8,CAMBIO PEDAL DE CRANK,0.2
GACELA,CAMBIO PEDAL DE CRANK,0.2
ROCKET,CAMBIO PEDAL DE CRANK,0.2
FLY 125,CAMBIO PEDAL DE CRANK,0.2
TWIST,CAMBIO PEDAL DE CRANK,0.2
JETIX,CAMBIO PEDAL DE CRANK,0.2
UNI-K 110,CAMBIO PEDAL DE CRANK,0.2
TRACK,CAMBIO PEDAL DE CRANK,0.2
PULSAR 135,CAMBIO PEDAL DE CRANK,0.2
Perseo,CAMBIO PEDAL DE CRANK,0.2
PULSAR,CAMBIO PEDAL DE CRANK,0.2
PULSAR 150,CAMBIO PEDAL DE CRANK,0.2
THOR 160,CAMBIO PEDAL DE CRANK,0.2
PULSAR 150 NS,CAMBIO PEDAL DE CRANK,0.2
PULSAR 150 AS,CAMBIO PEDAL DE CRANK,0.2
XCD,CAMBIO PEDAL DE CRANK,0.2
DISCOVER 100,CAMBIO PEDAL DE CRANK,0.2
DISCOVER 135,CAMBIO PEDAL DE CRANK,0.2
BOXER,CAMBIO PEDAL DE CRANK,0.2
LEXUS,CAMBIO PEDAL DE CRANK,0.2
DISCOVER 100 5S,CAMBIO PEDAL DE CRANK,0.2
DISCOVER 150,CAMBIO PEDAL DE CRANK,0.2
CHAMPION,CAMBIO PEDAL DE CRANK,0.2
DISCOVER 125 ST,CAMBIO PEDAL DE CRANK,0.2
BOXER BM 100,CAMBIO PEDAL DE CRANK,0.2
BOXER BM 150,CAMBIO PEDAL DE CRANK,0.2
BOXER BM 100 ES,CAMBIO PEDAL DE CRANK,0.2
PLATINO 125,CAMBIO PEDAL DE CRANK,0.2
PLATINO 125 - 5S,CAMBIO PEDAL DE CRANK,0.2
PLATINO 100,CAMBIO PEDAL DE CRANK,0.2
PLATINO 110,CAMBIO PEDAL DE CRANK,0.2
FAMILLY,CAMBIO PEDAL DE CRANK,0.2
MOTOCARRO 4T,CAMBIO PEDAL DE CRANK,0.15
TORITO,CAMBIO PEDAL DE CRANK,0.2
KAZE MAX II,CAMBIO PEDAL DE CRANK,0.15
ZX 130- MAGIC II,CAMBIO PEDAL DE CRANK,0.2
KMX,CAMBIO PEDAL DE CRANK,0.2
KLX 150,CAMBIO PEDAL DE CRANK,0.2
KLX150  L,CAMBIO PEDAL DE CRANK,0.2
TRANS-SPORT,CAMBIO PEDAL DE CRANK,0.2
MRX 150,CAMBIO PEDAL DE CRANK,0.2
FURAX,CAMBIO PEDAL DE CRANK,0.2
BOMBER 125,CAMBIO PEDAL DE CRANK,0.2
COMBAT 125,CAMBIO PEDAL DE CRANK,0.2
ZS,CAMBIO PEDAL DE CRANK,0.2
LIFE,CAMBIO PEDAL DE CRANK,0.2
HUNTER,CAMBIO PEDAL DE CRANK,0.2
BLACK,CAMBIO PEDAL DE CRANK,0.2
ONE,CAMBIO PEDAL DE CRANK,0.2
FLOW,CAMBIO PEDAL DE CRANK,0.2
ADVANCE II LF,CAMBIO PEDAL DE CRANK,0.2
SHOCK,CAMBIO PEDAL DE CRANK,0.2
ACTIV,CAMBIO RETEN EJE CRANK,0.4
SPIKE,CAMBIO RETEN EJE CRANK,0.4
JETIX,CAMBIO RETEN EJE CRANK,0.4
UNI-K 110,CAMBIO RETEN EJE CRANK,0.4
TRACK,CAMBIO RETEN EJE CRANK,0.4
PULSAR 135,CAMBIO RETEN EJE CRANK,0.4
Perseo,CAMBIO RETEN EJE CRANK,0.4
PULSAR,CAMBIO RETEN EJE CRANK,0.4
PULSAR 150,CAMBIO RETEN EJE CRANK,0.4
THOR 160,CAMBIO RETEN EJE CRANK,0.4
PULSAR 150 NS,CAMBIO RETEN EJE CRANK,0.4
PULSAR 150 AS,CAMBIO RETEN EJE CRANK,0.4
XCD,CAMBIO RETEN EJE CRANK,0.4
DISCOVER 100,CAMBIO RETEN EJE CRANK,0.4
DISCOVER 135,CAMBIO RETEN EJE CRANK,0.4
BOXER,CAMBIO RETEN EJE CRANK,0.4
LEXUS,CAMBIO RETEN EJE CRANK,0.4
DISCOVER 100 5S,CAMBIO RETEN EJE CRANK,0.4
DISCOVER 150,CAMBIO RETEN EJE CRANK,0.4
CHAMPION,CAMBIO RETEN EJE CRANK,0.4
DISCOVER 125 ST,CAMBIO RETEN EJE CRANK,0.4
BOXER BM 100,CAMBIO RETEN EJE CRANK,0.4
BOXER BM 150,CAMBIO RETEN EJE CRANK,0.4
BOXER BM 100 ES,CAMBIO RETEN EJE CRANK,0.4
PLATINO 125,CAMBIO RETEN EJE CRANK,0.4
PLATINO 125 - 5S,CAMBIO RETEN EJE CRANK,0.4
PLATINO 100,CAMBIO RETEN EJE CRANK,0.4
PLATINO 110,CAMBIO RETEN EJE CRANK,0.4
FAMILLY,CAMBIO RETEN EJE CRANK,0.4
MOTOCARRO 4T,CAMBIO RETEN EJE CRANK,0.5
TORITO,CAMBIO RETEN EJE CRANK,0.5
KAZE MAX II,CAMBIO RETEN EJE CRANK,0.4
ZX 130- MAGIC II,CAMBIO RETEN EJE CRANK,0.4
KMX,CAMBIO RETEN EJE CRANK,0.4
KLX 150,CAMBIO RETEN EJE CRANK,0.4
KLX150  L,CAMBIO RETEN EJE CRANK,0.4
TRANS-SPORT,CAMBIO RETEN EJE CRANK,0.4
MRX 150,CAMBIO RETEN EJE CRANK,0.4
FURAX,CAMBIO RETEN EJE CRANK,0.4
BOMBER 125,CAMBIO RETEN EJE CRANK,0.5
COMBAT 125,CAMBIO RETEN EJE CRANK,0.5
ONE,CAMBIO RETEN EJE CRANK,0.4
FLOW,CAMBIO RETEN EJE CRANK,0.4
ADVANCE II LF,CAMBIO RETEN EJE CRANK,0.4
SHOCK,CAMBIO RETEN EJE CRANK,0.4
TOP BOY,CAMBIO DE RESORTE DE CRANK,0.5
AGILITY,CAMBIO DE RESORTE DE CRANK,0.8
AGILITY RS,CAMBIO DE RESORTE DE CRANK,0.8
AGILITY CITY 150,CAMBIO DE RESORTE DE CRANK,0.8
ACTIV,CAMBIO DE RESORTE DE CRANK,1.5
SPIKE,CAMBIO DE RESORTE DE CRANK,1.5
AGILITY RS  NAKED,CAMBIO DE RESORTE DE CRANK,0.8
SUPER 8,CAMBIO DE RESORTE DE CRANK,0.8
GACELA,CAMBIO DE RESORTE DE CRANK,0.8
ROCKET,CAMBIO DE RESORTE DE CRANK,0.8
FLY 125,CAMBIO DE RESORTE DE CRANK,0.8
TWIST,CAMBIO DE RESORTE DE CRANK,1
JETIX,CAMBIO DE RESORTE DE CRANK,1.5
UNI-K 110,CAMBIO DE RESORTE DE CRANK,1.5
TRACK,CAMBIO DE RESORTE DE CRANK,1.5
PULSAR 135,CAMBIO DE RESORTE DE CRANK,6
Perseo,CAMBIO DE RESORTE DE CRANK,6
PULSAR,CAMBIO DE RESORTE DE CRANK,7.5
PULSAR 150,CAMBIO DE RESORTE DE CRANK,2.5
THOR 160,CAMBIO DE RESORTE DE CRANK,2.5
PULSAR 150 NS,CAMBIO DE RESORTE DE CRANK,2.5
PULSAR 150 AS,CAMBIO DE RESORTE DE CRANK,2.5
XCD,CAMBIO DE RESORTE DE CRANK,6
DISCOVER 100,CAMBIO DE RESORTE DE CRANK,6
DISCOVER 135,CAMBIO DE RESORTE DE CRANK,2
BOXER,CAMBIO DE RESORTE DE CRANK,1.8
LEXUS,CAMBIO DE RESORTE DE CRANK,1.8
DISCOVER 100 5S,CAMBIO DE RESORTE DE CRANK,6
DISCOVER 150,CAMBIO DE RESORTE DE CRANK,6
CHAMPION,CAMBIO DE RESORTE DE CRANK,1.8
DISCOVER 125 ST,CAMBIO DE RESORTE DE CRANK,6
BOXER BM 100,CAMBIO DE RESORTE DE CRANK,1.8
BOXER BM 150,CAMBIO DE RESORTE DE CRANK,6
BOXER BM 100 ES,CAMBIO DE RESORTE DE CRANK,6
PLATINO 125,CAMBIO DE RESORTE DE CRANK,6
PLATINO 125 - 5S,CAMBIO DE RESORTE DE CRANK,6
PLATINO 100,CAMBIO DE RESORTE DE CRANK,1.8
PLATINO 110,CAMBIO DE RESORTE DE CRANK,2.5
MOTOCARRO 4T,CAMBIO DE RESORTE DE CRANK,8.5
TORITO,CAMBIO DE RESORTE DE CRANK,8.5
KAZE MAX II,CAMBIO DE RESORTE DE CRANK,1.8
ZX 130- MAGIC II,CAMBIO DE RESORTE DE CRANK,1.5
KMX,CAMBIO DE RESORTE DE CRANK,1.5
KLX 150,CAMBIO DE RESORTE DE CRANK,1
KLX150  L,CAMBIO DE RESORTE DE CRANK,1
TRANS-SPORT,CAMBIO DE RESORTE DE CRANK,1.8
MRX 150,CAMBIO DE RESORTE DE CRANK,1
FURAX,CAMBIO DE RESORTE DE CRANK,1.5
BOMBER 125,CAMBIO DE RESORTE DE CRANK,1.5
COMBAT 125,CAMBIO DE RESORTE DE CRANK,1.5
ZS,CAMBIO DE RESORTE DE CRANK,1
LIFE,CAMBIO DE RESORTE DE CRANK,1
HUNTER,CAMBIO DE RESORTE DE CRANK,0.8
BLACK,CAMBIO DE RESORTE DE CRANK,0.8
ONE,CAMBIO DE RESORTE DE CRANK,1.5
FLOW,CAMBIO DE RESORTE DE CRANK,1.5
ADVANCE II LF,CAMBIO DE RESORTE DE CRANK,1.5
SHOCK,CAMBIO DE RESORTE DE CRANK,1.5
TOP BOY,CAMBIO DE  MOTOR DE ARRANQUE,1
AGILITY,CAMBIO DE  MOTOR DE ARRANQUE,1
AGILITY RS,CAMBIO DE  MOTOR DE ARRANQUE,1
AGILITY CITY 150,CAMBIO DE  MOTOR DE ARRANQUE,1
BET & WIN,CAMBIO DE  MOTOR DE ARRANQUE,1
ACTIV,CAMBIO DE  MOTOR DE ARRANQUE,1.5
SPIKE,CAMBIO DE  MOTOR DE ARRANQUE,1.5
AGILITY RS  NAKED,CAMBIO DE  MOTOR DE ARRANQUE,1
SUPER 8,CAMBIO DE  MOTOR DE ARRANQUE,1
GACELA,CAMBIO DE  MOTOR DE ARRANQUE,1
CRUCERO             x-town 300,CAMBIO DE  MOTOR DE ARRANQUE,1
ROCKET,CAMBIO DE  MOTOR DE ARRANQUE,1
FLY 125,CAMBIO DE  MOTOR DE ARRANQUE,1
TWIST,CAMBIO DE  MOTOR DE ARRANQUE,1
JETIX,CAMBIO DE  MOTOR DE ARRANQUE,1.5
UNI-K 110,CAMBIO DE  MOTOR DE ARRANQUE,1.5
TRACK,CAMBIO DE  MOTOR DE ARRANQUE,1.5
PULSAR 135,CAMBIO DE  MOTOR DE ARRANQUE,1.3
Perseo,CAMBIO DE  MOTOR DE ARRANQUE,1.3
PULSAR,CAMBIO DE  MOTOR DE ARRANQUE,1.3
PULSAR 180 UG,CAMBIO DE  MOTOR DE ARRANQUE,1.3
PULSAR 150,CAMBIO DE  MOTOR DE ARRANQUE,1.3
THOR 160,CAMBIO DE  MOTOR DE ARRANQUE,1
PULSAR 200,CAMBIO DE  MOTOR DE ARRANQUE,1
PULSAR 150 NS,CAMBIO DE  MOTOR DE ARRANQUE,1
PULSAR 150 AS,CAMBIO DE  MOTOR DE ARRANQUE,1
PULSAR 200 AS,CAMBIO DE  MOTOR DE ARRANQUE,1
PULSAR 200 NS,CAMBIO DE  MOTOR DE ARRANQUE,1
TITAN,CAMBIO DE  MOTOR DE ARRANQUE,1
PULSAR  RS 200,CAMBIO DE  MOTOR DE ARRANQUE,1
PULSAR 220,CAMBIO DE  MOTOR DE ARRANQUE,1.3
AVENGER 220,CAMBIO DE  MOTOR DE ARRANQUE,1.3
XCD,CAMBIO DE  MOTOR DE ARRANQUE,1
DISCOVER 100,CAMBIO DE  MOTOR DE ARRANQUE,1
DISCOVER 135,CAMBIO DE  MOTOR DE ARRANQUE,1.3
DISCOVER 100 5S,CAMBIO DE  MOTOR DE ARRANQUE,1.3
DISCOVER 150,CAMBIO DE  MOTOR DE ARRANQUE,1.3
CHAMPION,CAMBIO DE  MOTOR DE ARRANQUE,1.3
DISCOVER 125 ST,CAMBIO DE  MOTOR DE ARRANQUE,1.3
BOXER BM 150,CAMBIO DE  MOTOR DE ARRANQUE,1
BOXER BM 100 ES,CAMBIO DE  MOTOR DE ARRANQUE,1
PLATINO 125,CAMBIO DE  MOTOR DE ARRANQUE,1
PLATINO 125 - 5S,CAMBIO DE  MOTOR DE ARRANQUE,1
PLATINO 110,CAMBIO DE  MOTOR DE ARRANQUE,1
FAMILLY,CAMBIO DE  MOTOR DE ARRANQUE,1
MOTOCARRO 4T,CAMBIO DE  MOTOR DE ARRANQUE,2
TORITO,CAMBIO DE  MOTOR DE ARRANQUE,2
KAZE MAX II,CAMBIO DE  MOTOR DE ARRANQUE,1
ZX 130- MAGIC II,CAMBIO DE  MOTOR DE ARRANQUE,1
KLX 150,CAMBIO DE  MOTOR DE ARRANQUE,1.2
KLX150  L,CAMBIO DE  MOTOR DE ARRANQUE,1.2
KLX 250,CAMBIO DE  MOTOR DE ARRANQUE,1.4
NINJA 250,CAMBIO DE  MOTOR DE ARRANQUE,1.5
NINJA 250 FI,CAMBIO DE  MOTOR DE ARRANQUE,1.5
Z250,CAMBIO DE  MOTOR DE ARRANQUE,1.5
Z250 SL,CAMBIO DE  MOTOR DE ARRANQUE,1.5
ER-6n,CAMBIO DE  MOTOR DE ARRANQUE,1.3
TRANS-SPORT,CAMBIO DE  MOTOR DE ARRANQUE,1
MRX 150,CAMBIO DE  MOTOR DE ARRANQUE,1
FURAX,CAMBIO DE  MOTOR DE ARRANQUE,1
BOMBER 125,CAMBIO DE  MOTOR DE ARRANQUE,1
BOMBER 250,CAMBIO DE  MOTOR DE ARRANQUE,0.3
COMBAT 125,CAMBIO DE  MOTOR DE ARRANQUE,1
ZS,CAMBIO DE  MOTOR DE ARRANQUE,1
LIFE,CAMBIO DE  MOTOR DE ARRANQUE,1
HUNTER,CAMBIO DE  MOTOR DE ARRANQUE,0.9
BLACK,CAMBIO DE  MOTOR DE ARRANQUE,1
VENOM 400,CAMBIO DE  MOTOR DE ARRANQUE,0.5
VENOM 250,CAMBIO DE  MOTOR DE ARRANQUE,1
ONE,CAMBIO DE  MOTOR DE ARRANQUE,1.5
FLOW,CAMBIO DE  MOTOR DE ARRANQUE,1.5
ADVANCE II LF,CAMBIO DE  MOTOR DE ARRANQUE,1.5
ZONTES 155,CAMBIO DE  MOTOR DE ARRANQUE,0.6
ZONTES 310M,CAMBIO DE  MOTOR DE ARRANQUE,1
SHOCK,CAMBIO DE  MOTOR DE ARRANQUE,1.5
TNT150i,CAMBIO DE  MOTOR DE ARRANQUE,0.6
180S,CAMBIO DE  MOTOR DE ARRANQUE,0.6
TNT25N,CAMBIO DE  MOTOR DE ARRANQUE,0.5
LEONCINO 500,CAMBIO DE  MOTOR DE ARRANQUE,1.3
LEONCINO 250,CAMBIO DE  MOTOR DE ARRANQUE,0.5
TRK 500X,CAMBIO DE  MOTOR DE ARRANQUE,1.3
TRK 251,CAMBIO DE  MOTOR DE ARRANQUE,0.5
302 S,CAMBIO DE  MOTOR DE ARRANQUE,0.6
TOP BOY,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1
AGILITY,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
AGILITY RS,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
AGILITY CITY 150,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
BET & WIN,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
ACTIV,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
SPIKE,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
AGILITY RS  NAKED,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
SUPER 8,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
GACELA,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
CRUCERO             x-town 300,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
ROCKET,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
FLY 125,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
TWIST,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
JETIX,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
UNI-K 110,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
TRACK,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
PULSAR 135,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
Perseo,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
PULSAR,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
PULSAR 180 UG,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
PULSAR 150,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
THOR 160,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
PULSAR 200,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
PULSAR 150 NS,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
PULSAR 150 AS,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
PULSAR 200 AS,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
PULSAR 200 NS,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
TITAN,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
PULSAR  RS 200,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
PULSAR 220,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
AVENGER 220,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
XCD,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
DISCOVER 100,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
DISCOVER 135,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
DISCOVER 100 5S,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
DISCOVER 150,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
CHAMPION,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
DISCOVER 125 ST,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
BOXER BM 150,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
BOXER BM 100 ES,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
PLATINO 125,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
PLATINO 125 - 5S,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
PLATINO 110,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
FAMILLY,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
KAZE MAX II,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
ZX 130- MAGIC II,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
KLX 150,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.6
KLX150  L,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.6
KLX 250,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.7
NINJA 250,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
NINJA 250 FI,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
Z250,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
Z250 SL,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
ER-6n,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
MRX 150,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.6
BOMBER 125,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1
BOMBER 250,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1
COMBAT 125,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1
ZS,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
LIFE,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
HUNTER,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
BLACK,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
VENOM 400,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1
VENOM 250,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
ONE,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
FLOW,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
ADVANCE II LF,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
ZONTES 155,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
ZONTES 310M,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
SHOCK,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),2
TNT150i,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
180S,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
TNT25N,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
LEONCINO 500,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
LEONCINO 250,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
TRK 500X,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.8
TRK 251,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
302 S,LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1.5
TOP BOY,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1.3
AGILITY,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,2.5
AGILITY RS,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,2.5
AGILITY CITY 150,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,2.5
BET & WIN,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,2.8
ACTIV,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
SPIKE,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
AGILITY RS  NAKED,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,2.5
SUPER 8,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,2.5
GACELA,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,2.5
CRUCERO             x-town 300,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,3
ROCKET,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,2.5
FLY 125,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,2.5
TWIST,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,2.5
JETIX,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
UNI-K 110,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
TRACK,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
PULSAR 135,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
Perseo,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
PULSAR,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
PULSAR 180 UG,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
PULSAR 150,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
THOR 160,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
PULSAR 200,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
PULSAR 150 NS,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
PULSAR 150 AS,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
PULSAR 200 AS,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
PULSAR 200 NS,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1
TITAN,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1.1
PULSAR  RS 200,CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1.1
